"bcr_patient_barcode","DNAH12_exp","DNAH10_exp","BUB1_exp","C10orf32_exp","SLC12A8_exp","EFNB3_exp","DUOXA1_exp","DUOX1_exp","HDAC1_exp","HRCT1_exp","TNC_exp","AADAC_exp","AAMP_exp","A1CF_exp","PTEN_exp","DTL_exp","BRAF_exp"
"TCGA-3Z-A93Z",0.6273,18.1915,37.6376,1041.93,22.5826,64.6112,5.6456,12.5459,2421.98,79.6663,1426.47,0.6273,3490.26,96.6032,1433.99,55.8291,87.8211
"TCGA-4P-AA8J",0,17.2547,531.197,440.61,365.429,218.148,456.94,708.673,3662.92,20.3358,9517.79,6.1624,2972.73,0.6162,1377.29,232.322,91.2032
"TCGA-6D-AA2E",3.238,14.0313,18.8883,1313.55,109.552,4.857,5.0567,57.2045,1321.64,105.235,730.167,0,2340.53,40.4749,2234.21,10.2536,93.3621
"TCGA-A3-3306",1.0352,12.4224,126.294,773.809,20.7816,14.4928,0,7.764,1876.29,18.1159,1794,0,2151.14,126.812,5104.55,77.6398,200.828
"TCGA-A3-3307",0.9174,12.3853,38.9908,1006.88,7.7982,34.4037,0,11.4679,1777.06,86.2385,358.257,1.8349,2078.9,215.596,2418.81,100.459,144.495
"TCGA-A3-3308",19.727,32.1138,104.599,778.988,211.033,112.857,0.4588,43.1242,1954.35,113.316,4067.44,1.8351,1861.22,112.398,1929.58,147.723,213.327
"TCGA-A3-3311",1.0005,23.0115,106.72,994.497,293.48,92.046,0.3335,27.347,1743.54,35.6845,1611.14,0,1421.71,318.826,2375.52,160.413,215.441
"TCGA-A3-3313",5.3929,38.906,312.019,820.493,172.573,203.005,1.926,42.7581,856.703,9.6302,1733.05,0,1804.31,36.2096,2783.13,126.733,356.703
"TCGA-A3-3316",0,21.7687,111.565,491.837,202.041,61.2245,2.7211,29.2517,2051.02,63.9456,1125.85,1.3605,1681.63,80.2721,2170.07,130.612,125.85
"TCGA-A3-3317",1.1062,55.6785,138.643,691.003,230.457,69.3215,1.4749,109.144,1385.69,46.8289,3934.37,0,1946.17,58.2596,2448.38,125.369,250.738
"TCGA-A3-3319",0.3614,84.5681,345.139,574.991,324.178,5.7824,0,8.6737,1506.32,240.333,889.049,0,1972.89,206.361,1683.05,204.554,145.645
"TCGA-A3-3320",1.0617,25.8338,16.2789,743.873,54.1449,31.85,0.7078,21.2333,1775.81,28.3111,509.953,0.3539,2091.83,519.154,2424.49,33.6194,344.687
"TCGA-A3-3322",0.4753,31.8479,80.3327,630.303,12.0737,28.0452,1.9014,21.3904,1572.43,6.1794,2376.23,0.9507,1601.9,316.577,2322.52,120.261,312.775
"TCGA-A3-3323",2.4096,20.7229,73.253,820.723,36.6265,26.0241,0,107.952,2073.25,318.554,1476.14,0,1147.95,134.458,2894.94,91.5663,281.928
"TCGA-A3-3324",0.6991,31.108,44.7396,581.108,9.1297,38.7976,1.3981,12.583,1958.41,26.5641,2917.86,0,1656.06,315.973,2270.53,66.4103,296.4
"TCGA-A3-3325",1.0687,14.9613,67.0585,1010.42,321.934,67.3257,1.3358,32.327,2118.09,69.7302,4056.1,0.8015,2365.75,127.705,1660.97,131.98,102.591
"TCGA-A3-3326",2.7447,13.7237,74.108,958.829,58.5544,21.043,0,6.4044,1913.08,47.5755,964.318,0.9149,1950.59,152.791,2126.26,111.619,161.025
"TCGA-A3-3328",0,53.3706,99.2941,1113.96,152.975,1.5515,0.6206,26.6853,1168.57,2.4824,82.5382,0,1466.14,0,775.425,82.8485,150.493
"TCGA-A3-3329",2.3933,7.5788,40.2872,1348.22,145.592,35.1017,2.7922,16.3542,2045.47,57.4392,413.243,0.3989,2195.05,240.128,1697.25,83.3666,145.194
"TCGA-A3-3331",0.9707,28.7969,57.9173,578.202,6.7948,43.3571,1.2942,10.3539,1814.85,48.2105,765.868,0,1712.61,190.577,1614.89,235.228,305.441
"TCGA-A3-3335",0,12.5733,72.5063,713.328,140.402,15.9262,2.0956,316.848,1143.76,24.7276,908.634,4.6102,1962.28,51.1316,2703.69,62.0285,308.047
